STATE/UT,AREA (sq. km.),POPULATION (2001),POPULATION (2011),LITERACY RATE (%) - 2001,LITERACY RATE (%) - 2011,POPULATION (2002),POPULATION (2003),POPULATION (2004),POPULATION (2005),POPULATION (2006),POPULATION (2007),POPULATION (2008),POPULATION (2009),POPULATION (2010),POPULATION (2012),LITERACY RATE (%) - 2002,LITERACY RATE (%) - 2003,LITERACY RATE (%) - 2004,LITERACY RATE (%) - 2005,LITERACY RATE (%) - 2006,LITERACY RATE (%) - 2007,LITERACY RATE (%) - 2008,LITERACY RATE (%) - 2009,LITERACY RATE (%) - 2010,LITERACY RATE (%) - 2012,AVERAGE POPULATION (2001-2012),AVERAGE LITERACY RATE (2001-2012),POPULATION GROWTH RATE (2001-2012)
ODISHA,155707,36707900,41947358.0,63.08,72.87,37231846.0,37755792.0,38279737.0,38803683.0,39327629.0,39851575.0,40375521.0,40899466.0,41423412.0,42471304.0,64.06,65.04,66.02,67.0,67.97,68.95,69.93,70.91,71.89,73.85,39589602.0,68.46,16.0
PUNJAB,50362,24289130,27704236.0,69.65,75.84,24630641.0,24972151.0,25313662.0,25655172.0,25996683.0,26338194.0,26679704.0,27021215.0,27362725.0,28045747.0,70.27,70.89,71.51,72.13,72.74,73.36,73.98,74.6,75.22,76.46,26167438.0,73.05,15.0
RAJASTHAN,342239,56473300,68621012.0,60.41,66.11,57688071.0,58902842.0,60117614.0,61332385.0,62547156.0,63761927.0,64976698.0,66191470.0,67406241.0,69835783.0,60.98,61.55,62.12,62.69,63.26,63.83,64.4,64.97,65.54,66.68,63154542.0,63.54,24.0
SIKKIM,7096,541902,607688.0,68.81,81.42,548481.0,555059.0,561638.0,568216.0,574795.0,581374.0,587952.0,594531.0,601109.0,614267.0,70.07,71.33,72.59,73.85,75.12,76.38,77.64,78.9,80.16,82.68,578084.0,75.75,13.0
TAMIL NADU,130060,62111390,72138958.0,73.45,80.33,63114147.0,64116904.0,65119660.0,66122417.0,67125174.0,68127931.0,69130688.0,70133444.0,71136201.0,73141715.0,74.14,74.83,75.51,76.2,76.89,77.58,78.27,78.95,79.64,81.02,67626552.0,77.23,18.0
TRIPURA,10486,3191880,3671032.0,73.19,87.22,3239795.0,3287710.0,3335626.0,3383541.0,3431456.0,3479371.0,3527286.0,3575202.0,3623117.0,3718947.0,74.59,76.0,77.4,78.8,80.2,81.61,83.01,84.41,85.82,88.62,3455414.0,80.91,17.0
UTTAR PRADESH,240928,166053600,199581477.0,56.27,67.68,169406388.0,172759175.0,176111963.0,179464751.0,182817538.0,186170326.0,189523114.0,192875902.0,196228689.0,202934265.0,57.41,58.55,59.69,60.83,61.98,63.12,64.26,65.4,66.54,68.82,184493932.0,62.55,22.0
UTTARAKHAND,53483,8489100,10116752.0,71.62,78.82,8651865.0,8814630.0,8977396.0,9140161.0,9302926.0,9465691.0,9628456.0,9791222.0,9953987.0,10279517.0,72.34,73.06,73.78,74.5,75.22,75.94,76.66,77.38,78.1,79.54,9384309.0,75.58,21.0
WEST BENGAL,88752,80221300,91347736.0,68.64,76.26,81333944.0,82446587.0,83559231.0,84671874.0,85784518.0,86897162.0,88009805.0,89122449.0,90235092.0,92460380.0,69.4,70.16,70.93,71.69,72.45,73.21,73.97,74.74,75.5,77.02,86340840.0,72.83,15.0
A & N ISLANDS,8249,356650,379944.0,81.3,86.63,358979.0,361309.0,363638.0,365968.0,368297.0,370626.0,372956.0,375285.0,377615.0,382273.0,81.83,82.37,82.9,83.43,83.96,84.5,85.03,85.56,86.1,87.16,369462.0,84.23,7.0
CHANDIGARH,114,901080,1054686.0,81.94,86.05,916441.0,931801.0,947162.0,962522.0,977883.0,993244.0,1008604.0,1023965.0,1039325.0,1070047.0,82.35,82.76,83.17,83.58,84.0,84.41,84.82,85.23,85.64,86.46,985563.0,84.2,19.0
D & N HAVELI,491,220963,342853.0,57.63,76.24,233152.0,245341.0,257530.0,269719.0,281908.0,294097.0,306286.0,318475.0,330664.0,355042.0,59.49,61.35,63.21,65.07,66.94,68.8,70.66,72.52,74.38,78.1,288002.0,67.87,61.0
DAMAN & DIU,111,158080,242911.0,78.18,87.1,166563.0,175046.0,183529.0,192012.0,200496.0,208979.0,217462.0,225945.0,234428.0,251394.0,79.07,79.96,80.86,81.75,82.64,83.53,84.42,85.32,86.21,87.99,204737.0,83.09,59.0
DELHI,1483,13851503,16753235.0,81.67,86.21,14141676.0,14431849.0,14722023.0,15012196.0,15302369.0,15592542.0,15882715.0,16172889.0,16463062.0,17043408.0,82.12,82.58,83.03,83.49,83.94,84.39,84.85,85.3,85.76,86.66,15447456.0,84.17,23.0
LAKSHADWEEP,30,61300,64429.0,86.66,91.85,61613.0,61926.0,62239.0,62552.0,62864.0,63177.0,63490.0,63803.0,64116.0,64742.0,87.18,87.7,88.22,88.74,89.26,89.77,90.29,90.81,91.33,92.37,63021.0,89.51,6.0
PUDUCHERRY,490,974820,1244464.0,81.24,85.85,1001784.0,1028749.0,1055713.0,1082678.0,1109642.0,1136606.0,1163571.0,1190535.0,1217500.0,1271428.0,81.7,82.16,82.62,83.08,83.54,84.01,84.47,84.93,85.39,86.31,1123124.0,83.78,30.0
